                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0365,                0.80056,                 1.2439,                0.84376,                 0.8468,                0.92723,                0.71125,                0.86723,                0.69838,                 1.2127,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.0746,                0.81581,                 1.2702,                0.88402,                0.89403,                0.95374,                0.73268,                0.85351,                0.63272,                 1.2083,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0415,                0.81259,                 1.2854,                0.90267,                0.89588,                0.95719,                0.71837,                0.90912,                0.63277,                 1.2199,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0522,                 0.8387,                 1.2701,                0.90065,                0.89953,                0.95756,                0.71686,                0.93322,                0.64274,                 1.2259,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.0291,                0.79882,                 1.2673,                0.88654,                0.89005,                0.95212,                0.74089,                0.85644,                0.62901,                 1.2034,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0169,                0.78406,                 1.2622,                0.88436,                 0.8858,                0.95511,                0.73112,                0.87743,                0.63662,                 1.2092,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0276,                0.76635,                 1.2129,                0.88158,                0.89593,                0.95325,                0.71987,                0.91551,                0.64891,                  1.234,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0335,                0.81968,                 1.2438,                0.89315,                0.90498,                0.95825,                0.73519,                0.87399,                0.62411,                 1.2066,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0564,                0.79745,                 1.2412,                0.90971,                0.90581,                 0.9664,                0.75135,                0.84374,                0.60452,                 1.1798,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0514,                0.77881,                  1.252,                0.87422,                0.87886,                0.95146,                0.73819,                0.84522,                0.65351,                 1.1874,             0.00037974,             0.00037974,             0.00037974
                     80,                  1.067,                0.84219,                 1.2521,                0.91261,                0.91484,                0.96692,                0.73941,                0.87788,                0.60375,                 1.2067,             0.00036324,             0.00036324,             0.00036324
                     81,                0.98941,                0.77362,                 1.2443,                0.89667,                0.91393,                0.96699,                 0.7464,                0.85624,                0.60301,                 1.1898,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0184,                0.77795,                  1.246,                0.92382,                0.92668,                0.97359,                0.77124,                0.79091,                0.56963,                 1.1559,             0.00033023,             0.00033023,             0.00033023
                     83,                0.98419,                0.75866,                 1.2369,                 0.8687,                0.90185,                 0.9629,                0.75539,                0.81414,                0.61647,                 1.1717,             0.00031373,             0.00031373,             0.00031373
                     84,                0.95557,                0.78638,                 1.2274,                0.91618,                0.92359,                 0.9711,                0.76009,                0.82766,                0.57491,                 1.1692,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0031,                0.77582,                 1.2317,                0.90988,                0.93534,                 0.9716,                0.76003,                 0.8253,                 0.5737,                 1.1692,             0.00028072,             0.00028072,             0.00028072
                     86,                0.99981,                0.75612,                 1.2173,                0.90376,                0.92823,                 0.9717,                0.76721,                0.80423,                0.57307,                 1.1629,             0.00026422,             0.00026422,             0.00026422
                     87,                0.97175,                0.74285,                 1.1989,                0.90776,                0.90588,                0.96676,                0.76222,                 0.8005,                0.58502,                 1.1628,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.9845,                0.71767,                 1.1917,                0.92793,                0.93546,                0.97765,                0.77344,                0.79618,                0.55174,                 1.1601,             0.00023121,             0.00023121,             0.00023121
                     89,                0.97397,                0.72101,                 1.2261,                0.91057,                0.93968,                0.97749,                 0.7749,                0.80303,                0.55738,                  1.165,             0.00021471,             0.00021471,             0.00021471
                     90,                0.98846,                0.73124,                 1.2034,                0.92696,                0.95304,                0.97965,                0.78025,                0.78528,                0.55141,                  1.159,             0.00019821,             0.00019821,             0.00019821
                     91,                0.91141,                0.69611,                 1.2021,                 0.9262,                0.93224,                0.97711,                0.78227,                0.78771,                0.59046,                 1.1512,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.9701,                0.71667,                 1.1807,                0.87498,                0.91334,                0.96078,                 0.7541,                0.83832,                0.67683,                 1.1629,              0.0001652,              0.0001652,              0.0001652
                     93,                0.90293,                0.72471,                 1.1884,                0.88654,                0.90645,                 0.9606,                0.75576,                0.82982,                0.66454,                 1.1561,              0.0001487,              0.0001487,              0.0001487
                     94,                0.86804,                0.67338,                 1.1802,                 0.9095,                0.92612,                0.97189,                0.77321,                0.79512,                0.58017,                 1.1386,             0.00013219,             0.00013219,             0.00013219
                     95,                0.90807,                0.67877,                 1.1819,                0.93346,                0.93628,                 0.9796,                0.78611,                0.77392,                0.53203,                 1.1306,             0.00011569,             0.00011569,             0.00011569
                     96,                0.87155,                0.66087,                 1.1483,                0.92448,                 0.9405,                 0.9789,                0.78341,                0.77864,                0.53504,                 1.1332,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.87817,                0.66285,                 1.1734,                0.92847,                0.93826,                0.98002,                0.78302,                 0.7755,                0.53416,                 1.1304,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.99742,                 0.7315,                 1.1736,                0.93431,                0.94142,                0.98142,                0.78985,                0.76574,                0.52416,                 1.1225,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.90475,                0.66643,                  1.173,                0.94132,                0.94121,                0.98253,                0.78891,                0.76193,                0.52033,                 1.1193,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                 0.8734,                0.64336,                 1.1576,                0.94842,                 0.9431,                 0.9834,                0.79065,                 0.7608,                0.51735,                 1.1177,             3.3173e-05,             3.3173e-05,             3.3173e-05
