                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                  1.524,                 1.4218,                 1.7662,                0.69188,                0.45631,                0.60018,                0.40168,                 1.2644,                 1.1658,                 1.6652,               0.000307,               0.000307,               0.000307
                     72,                 1.5836,                 1.5108,                 1.8069,                0.65718,                 0.4944,                0.60811,                 0.4024,                 1.2839,                 1.1635,                 1.6723,              0.0002971,              0.0002971,              0.0002971
                     73,                 1.5361,                 1.4457,                 1.7072,                0.67356,                0.48876,                0.60699,                0.39813,                 1.2802,                 1.1306,                 1.6661,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.5299,                 1.4188,                 1.7284,                0.65398,                0.47838,                0.60608,                0.39035,                 1.2895,                 1.1557,                 1.6681,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.5366,                 1.4732,                  1.731,                0.63774,                0.47058,                0.59865,                0.39377,                 1.2847,                 1.2165,                 1.6653,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.5403,                 1.4475,                 1.7233,                0.66217,                0.50088,                 0.6135,                0.39667,                 1.2785,                 1.1433,                 1.6573,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.5308,                 1.4795,                 1.7285,                0.68028,                0.45563,                0.61148,                0.40766,                  1.275,                  1.139,                 1.6675,              0.0002476,              0.0002476,              0.0002476
                     78,                 1.4668,                 1.3742,                 1.6994,                0.68858,                0.47064,                0.62289,                0.39057,                 1.2689,                 1.1449,                 1.6453,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.4437,                 1.3873,                 1.6984,                0.68574,                0.49613,                0.63358,                0.42638,                 1.2103,                 1.0846,                 1.6093,              0.0002278,              0.0002278,              0.0002278
                     80,                  1.477,                 1.4258,                 1.7248,                0.68665,                0.50292,                0.62973,                0.40329,                 1.2488,                 1.0851,                 1.6284,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.4614,                 1.3559,                 1.7092,                0.72825,                0.49356,                0.57848,                0.37062,                 1.2172,                 1.0412,                 1.6098,               0.000208,               0.000208,               0.000208
                     82,                 1.4596,                  1.366,                 1.7064,                0.70398,                0.50248,                0.63966,                0.43013,                 1.2086,                 1.0292,                 1.6108,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.4436,                 1.3189,                 1.6528,                0.72318,                0.48344,                0.64681,                 0.4357,                 1.2077,                 1.0082,                 1.6049,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.4801,                 1.3957,                 1.7172,                0.71318,                0.51168,                0.65392,                0.41197,                 1.2113,                 1.0338,                 1.5994,              0.0001783,              0.0001783,              0.0001783
                     85,                 1.4368,                  1.389,                 1.6872,                0.72264,                0.52025,                 0.6619,                0.41871,                 1.1921,                 1.0372,                 1.5918,              0.0001684,              0.0001684,              0.0001684
                     86,                  1.456,                 1.3462,                 1.6794,                0.70983,                0.50752,                0.65523,                0.43955,                 1.1663,                 1.0168,                 1.5788,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.4676,                 1.3395,                 1.6773,                0.71139,                0.53006,                0.66249,                0.45276,                   1.16,                 0.9721,                 1.5673,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.4334,                 1.2922,                 1.6555,                0.69846,                0.50751,                0.64618,                0.44286,                 1.1638,                 0.9972,                 1.5682,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.4036,                 1.3123,                 1.6757,                0.73544,                 0.5175,                0.66881,                0.45257,                 1.1252,                0.96441,                 1.5381,              0.0001288,              0.0001288,              0.0001288
